No.,Case,"Amicus Curiae Briefs"
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","1.    Amicus Brief, BRIEF OF AMICUS CURIAE TEACH FOR AMERICA, INC. IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3302  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","2.    Amicus Brief, BRIEF AMICUS CURIAE OF GAIL HERIOT, PETER KIRSANOW & TODD GAZIANO, MEMBERS OF THE UNITED STATES COMMISSION ON CIVIL RIGHTS, IN SUPPORT OF THE PETITIONER, October 19, 2011, 2011 U.S. S. Ct. Briefs LEXIS 1812  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","3.    Amicus Brief, BRIEF OF AMICI CURIAE COALITION OF BAR ASSOCIATIONS OF COLOR (NATIONAL BAR ASSOCIATION, HISPANIC NATIONAL BAR ASSOCIATION, NATIONAL ASIAN PACIFIC AMERICAN BAR ASSOCIATION, AND NATIONAL NATIVE AMERICAN BAR ASSOCIATION) IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3219  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","4.    Amicus Brief, BRIEF OF SOCIAL AND ORGANIZATIONAL PSYCHOLOGISTS AS AMICI CURIAE SUPPORTING RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3223  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","5.    Amicus Brief, BRIEF OF THE ASIAN AMERICAN LEGAL FOUNDATION AS AMICUS CURIAE IN SUPPORT OF PETITIONER, October 19, 2011, 2011 U.S. S. Ct. Briefs LEXIS 1890  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","6.    Amicus Brief, AMICUS CURIAE BRIEF OF THE CENTER FOR INDIVIDUAL RIGHTS IN SUPPORT OF PETITIONER, May 24, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2383  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","7.    Amicus Brief, BRIEF OF THE HONORABLE ALLEN B. WEST, MEMBER OF CONGRESS AND LIEUTENANT COLONEL, UNITED STATES ARMY (RET.), AS AMICUS CURIAE IN SUPPORT OF PETITIONER, May 25, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2386  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","8.    Amicus Brief, BRIEF AMICI CURIAE OF THE BRENNAN CENTER FOR JUSTICE AT NYU SCHOOL OF LAW AND THE LEAGUE OF WOMEN VOTERS OF THE UNITED STATES IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3382  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","9.    Amicus Brief, BRIEF FOR AMICI CURIAE FORMER STUDENT BODY PRESIDENTS OF UNIVERSITY OF TEXAS AT AUSTIN IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3258  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","10.    Amicus Brief, BRIEF AMICI CURIAE OF FORDHAM UNIVERSITY, BOSTON COLLEGE, DEPAUL UNIVERSITY, GEORGETOWN UNIVERSITY, COLLEGE OF THE HOLY CROSS, MARQUETTE UNIVERSITY, UNIVERSITY OF NOTRE DAME and UNIVERSITY OF SAN FRANCISCO IN SUPPORT OF RESPONDENTS, August 10, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3261  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","11.    Amicus Brief, BRIEF OF DEAN ROBERT POST AND DEAN MARTHA MINOW AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3264  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","12.    Amicus Brief, BRIEF FOR THE UNITED STATES AS AMICUS CURIAE SUPPORTING RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3269  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","13.    Amicus Brief, BRIEF OF EMPIRICAL SCHOLARS AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3299  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","14.    Amicus Brief, BRIEF AMICUS CURIAE OF THE COUNCIL FOR MINORITY AFFAIRS AT TEXAS A&M, HISPANIC BUSINESS STUDENTS ASSOCIATION AT THE UNIVERSITY OF HOUSTON, SOCIETY OF HISPANIC PROFESSIONAL ENGINEERS AT THE UNIVERSITY OF TEXAS-AUSTIN, UNIVERSITY LEADERSHIP INITIATIVE, AND TEXAS COLLEGE STUDENTS FOR DIVERSITY ALEJANDRA AGUILAR, ET AL., August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3307  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","15.    Amicus Brief, BRIEF OF AMICI CURIAE THE AMERICAN JEWISH COMMITTEE, CENTRAL CONFERENCE OF AMERICAN RABBIS, AND UNION FOR REFORM JUDAISM IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3310  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","16.    Amicus Brief, BRIEF FOR LEADING PUBLIC RESEARCH UNIVERSITIES THE UNIVERSITY OF DELAWARE, THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS, INDIANA UNIVERSITY, THE UNIVERSITY OF KANSAS, THE UNIVERSITY OF MICHIGAN, MICHIGAN STATE UNIVERSITY, THE UNIVERSITY OF NEBRASKA-LINCOLN, THE OHIO STATE UNIVERSITY, THE PENNSYLVANIA STATE UNIVERSITY, AND PURDUE UNIVERSITY AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3313  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","17.    Amicus Brief, BRIEF OF AMICUS CURIAE THE AMERICAN PSYCHOLOGICAL ASSOCIATION IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3290  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","18.    Amicus Brief, BRIEF OF AMICUS CURIAE THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL SUPPORTING RESPONDENTS, August 9, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3216  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","19.    Amicus Brief, BRIEF OF APPALACHIAN STATE UNIVERSITY AND 35 FELLOW COLLEGES AND UNIVERSITIES AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3294  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","20.    Amicus Brief, BRIEF OF DR. ROBERT D. PUTNAM AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3355  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","21.    Amicus Brief, BRIEF FOR THE STATE OF CALIFORNIA AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3359  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","22.    Amicus Brief, BRIEF AMICUS CURIAE OF THE EQUAL EMPLOYMENT ADVISORY COUNCIL IN SUPPORT OF NEITHER PARTY, May 29, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2362  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","23.    Amicus Brief, BRIEF AMICUS CURIAE OF THE NATIONAL EDUCATION ASSOCIATION, ET AL., IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3362  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","24.    Amicus Brief, BRIEF FOR THE ASIAN AMERICAN LEGAL FOUNDATION AND THE JUDICIAL EDUCATION PROJECT AS AMICI CURIAE IN SUPPORT OF PETITIONER, May 29, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2366  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","25.    Amicus Brief, BRIEF OF U.S. SENATORS HARRY REID, TOM HARKIN, RICHARD J. DURBIN, CHARLES E. SCHUMER, PATTY MURRAY, CARL LEVIN, JOHN F. KERRY, BARBARA A. MIKULSKI, DIANNE FEINSTEIN, BARBARA BOXER, JACK REED, MARY L. LANDRIEU, FRANK R. LAUTENBERG, BENJAMIN L. CARDIN, BERNARD SANDERS, CHRISTOPHER A. COONS, AND RICHARD BLUMENTHAL AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3283  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","26.    Amicus Brief, Brief of the Texas Association of Scholars As Amicus Curiae In Support of the Petitioner, May 16, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2082  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","27.    Amicus Brief, BRIEF OF THE AMERICAN ASSOCIATION FOR AFFIRMATIVE ACTION AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3220  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","28.    Amicus Brief, BRIEF OF THE ASIAN AMERICAN LEGAL DEFENSE AND EDUCATION FUND, ASIAN/ASIAN AMERICAN FACULTY AND STAFF ASSOCIATION OF THE UNIVERSITY OF TEXAS AT AUSTIN, ASIAN DESI PACIFIC ISLANDER AMERICAN COLLECTIVE OF THE UNIVERSITY OF TEXAS AT AUSTIN, OTHER ASIAN AMERICAN AND PACIFIC ISLANDER EDUCATION AND YOUTH-SERVING ORGANIZATIONS, AND HIGHER EDUCATION OFFICIALS AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3224  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","29.    Amicus Brief, AMICUS CURIAE BRIEF OF MOUNTAIN STATES LEGAL FOUNDATION IN SUPPORT OF PETITIONER, May 25, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2381  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","30.    Amicus Brief, BRIEF AMICI CURIAE FOR RICHARD SANDER AND STUART TAYLOR, JR. IN SUPPORT OF NEITHER PARTY, May 29, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2384  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","31.    Amicus Brief, BRIEF FOR AMICI CURIAE CURRENT AND FORMER FEDERAL CIVIL RIGHTS OFFICIALS IN SUPPORT OF PETITIONER, May 29, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2387  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","32.    Amicus Brief, BRIEF OF THE LAW SCHOOL ADMISSION COUNCIL AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3259  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","33.    Amicus Brief, BRIEF OF AMICI CURIAE HUMAN RIGHTS ADVOCATES, ET AL., IN SUPPORT OF RESPONDENTS, August 10, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3262  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","34.    Amicus Brief, BRIEF AMICI CURIAE OF 38 CURRENT MEMBERS OF THE TEXAS STATE SENATE AND HOUSE OF REPRESENTATIVES IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3267  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","35.    Amicus Brief, BRIEF OF NATIONAL WOMEN'S LAW CENTER, ET AL., AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3270  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","36.    Amicus Brief, BRIEF OF UNITED STATES STUDENT ASSOCIATION AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3379  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","37.    Amicus Brief, BRIEF OF AMICI CURIAE MEMBERS OF ASIAN AMERICAN CENTER FOR ADVANCING JUSTICE, ET AL. IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3305  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","38.    Amicus Brief, BRIEF FOR AMICI CURIAE NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE, TEXAS STATE CONFERENCE OF NAACP BRANCHES AND BARBARA BADER ALDAVE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3314  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","39.    Amicus Brief, BRIEF OF THE AMERICAN EDUCATIONAL RESEARCH ASSOCIATION ET AL. AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3287  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","40.    Amicus Brief, BRIEF OF BROWN UNIVERSITY, UNIVERSITY OF CHICAGO, COLUMBIA UNIVERSITY, CORNELL UNIVERSITY, DARTMOUTH COLLEGE, DUKE UNIVERSITY, HARVARD UNIVERSITY, JOHNS HOPKINS UNIVERSITY, MASSACHUSETTS INSTITUTE OF TECHNOLOGY, UNIVERSITY OF PENNSYLVANIA, PRINCETON UNIVERSITY, STANFORD UNIVERSITY, VANDERBILT UNIVERSITY, AND YALE UNIVERSITY IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3291  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","41.    Amicus Brief, BRIEF FOR THE NATIONAL BLACK LAW STUDENTS ASSOCIATION AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS, August 9, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3217  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","42.    Amicus Brief, BRIEF FOR THE HOWARD UNIVERSITY SCHOOL OF LAW CIVIL RIGHTS CLINIC AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3295  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","43.    Amicus Brief, BRIEF OF AMICI CURIAE RELIGIOUS ORGANIZATIONS AND CAMPUS MINISTRIES INCLUDING THE GENERAL BOARD OF CHURCH AND SOCIETY OF THE UNITED METHODIST CHURCH, REV. GRADYE PARSONS, STATED CLERK OF THE GENERAL ASSEMBLY OF THE PRESBYTERIAN CHURCH (U.S.A.), AMERICAN BAPTIST CHURCHES IN THE U.S.A., THE AFRICAN METHODIST EPISCOPAL ZION CHURCH (U.SA), THE GENERAL SYNOD OF THE UNITED CHURCH OF CHRIST, THE PROGRESSIVE NATIONAL BAPTIST CONVENTION, THE NATIONAL COUNCIL OF THE CHURCHES OF CHRIST IN THE U.S.A., ESPERANZA, THE CHRISTIAN LIFE COMMISSION AND THE AFRICAN AMERICAN FELLOWSHIP OF THE BAPTIST GENERAL CONVENTION OF TEXAS, THE AMERICAN BAPTIST HOME MISSION SOCIETY, CATHOLICS IN ALLIANCE FOR THE COMMON GOOD, NETWORK, DISCIPLES JUSTICE ACTION NETWORK (CHRISTIAN CHURCH (DISCIPLES OF CHRIST)), SOJOURNERS, AND THE AFRICAN AMERICAN MINISTERS LEADERSHIP COUNCIL IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3352  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","44.    Amicus Brief, BRIEF AMICI CURIAE ON BEHALF OF THE COALITION TO DEFEND AFFIRMATIVE ACTION, INTEGRATION AND IMMIGRANT RIGHTS AND FIGHT FOR EQUALITY BY ANY MEANS NECESSARY (BAMN) AND UNITED FOR EQUALITY AND AFFIRMATIVE ACTION LEGAL DEFENSE FUND (UEAALDF) IN SUPPORT OF THE RESPONDENTS URGING AFFIRMANCE, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3356  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","45.    Amicus Brief, AMICUS CURIAE BRIEF OF THE AMERICAN CIVIL RIGHTS UNION IN SUPPORT OF PETITIONER, May 29, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2363  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","46.    Amicus Brief, BRIEF OF THE SOUTHEASTERN LEGAL FOUNDATION, INC. AS AMICUS CURIAE SUPPORTING PETITIONER, May 29, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2367  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","47.    Amicus Brief, BRIEF AMICUS CURIAE FOR RICHARD SANDER AND STUART TAYLOR, JR. IN SUPPORT OF PETITIONER, October 19, 2011, 2011 U.S. S. Ct. Briefs LEXIS 1813  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","48.    Amicus Brief, BRIEF OF SCHOLARS OF ECONOMICS AND STATISTICS AS AMICI CURIAE IN SUPPORT OF PETITIONER, May 29, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2372  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","49.    Amicus Brief, BRIEF FOR NATIONAL ASSOCIATION OF BASKETBALL COACHES, WOMEN'S BASKETBALL COACHES ASSOCIATION, BLACK COACHES & ADMINISTRATORS, BETH BURNS, JOHNNY DAWKINS, JAMIE DIXON, PAUL HEWITT, BEN HOWLAND, TOM IZZO, PHIL MARTELLI, JOANNE P. MCCALLIE, MIKE MONTGOMERY, SUE SEMRAU, ORLANDO ""TUBBY"" SMITH, CHARLI TURNER THORNE, COQUESE WASHINGTON AND ADDITIONAL INDIVIDUALS AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3284  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","50.    Amicus Brief, BRIEF OF AMERICAN SOCIAL SCIENCE RESEARCHERS AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 9, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3221  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","51.    Amicus Brief, BRIEF OF AMICUS CURIAE HARVARD GRADUATE SCHOOL OF EDUCATION STUDENTS FOR DIVERSITY IN SUPPORT OF RESPONDENTS, August 9, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3225  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","52.    Amicus Brief, BRIEF OF SCHOLARS OF ECONOMICS AND STATISTICS AS AMICI CURIAE IN SUPPORT OF PETITIONER, May 29, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2388  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","53.    Amicus Brief, BRIEF OF AMICUS CURIAE UNITED NEGRO COLLEGE FUND IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3383  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","54.    Amicus Brief, BRIEF OF DISTINGUISHED ALUMNI OF THE UNIVERSITY OF TEXAS AT AUSTIN AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3256  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","55.    Amicus Brief, BRIEF AMICUS CURIAE OF ANTI-DEFAMATION LEAGUE IN SUPPORT OF RESPONDENTS, August 10, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3265  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","56.    Amicus Brief, BRIEF OF THE FAMILY OF HEMAN SWEATT AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3377  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","57.    Amicus Brief, BRIEF OF THE AMERICAN BAR ASSOCIATION AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS AND URGING AFFIRMANCE, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3297  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","58.    Amicus Brief, BRIEF OF FORMER COMMISSIONERS AND GENERAL COUNSEL OF THE FEDERAL COMMUNICATIONS COMMISSION AND THE MINORITY MEDIA AND TELECOMMUNICATIONS COUNCIL, AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3300  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","59.    Amicus Brief, BRIEF FOR THE NEW YORK STATE BAR ASSOCIATION AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3303  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","60.    Amicus Brief, BRIEF OF AMICI CURIAE AMERICAN COUNCIL ON EDUCATION AND 39 OTHER HIGHER EDUCATION ORGANIZATIONS IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3306  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","61.    Amicus Brief, BRIEF OF AMICUS CURIAE SOCIETY OF AMERICAN LAW TEACHERS IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3308  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","62.    Amicus Brief, AMICUS BRIEF OF THE LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW, ET AL., IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3311  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","63.    Amicus Brief, BRIEF AMICI CURIAE OF CONSTITUTIONAL LAW SCHOLARS AND CONSTITUTIONAL ACCOUNTABILITY CENTER IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3288  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","64.    Amicus Brief, BRIEF OF AMICI CURIAE COALITION OF BLACK MALE ACHIEVEMENT INITIATIVES IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3292  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","65.    Amicus Brief, BRIEF OF EXPERIMENTAL PSYCHOLOGISTS AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3353  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","66.    Amicus Brief, BRIEF AMICUS CURIAE OF THE PRESIDENT AND CHANCELLORS OF THE UNIVERSITY OF CALIFORNIA IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3357  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","67.    Amicus Brief, BRIEF AMICUS CURIAE OF PACIFIC LEGAL FOUNDATION, CENTER FOR EQUAL OPPORTUNITY, AMERICAN CIVIL RIGHTS INSTITUTE, NATIONAL ASSOCIATION OF SCHOLARS, AND PROJECT 21 IN SUPPORT OF PETITIONER, May 29, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2360  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","68.    Amicus Brief, BRIEF OF AMICI CURIAE BOSTON BAR ASSOCIATION ET AL. IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3360  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","69.    Amicus Brief, AMICUS BRIEF OF THE AMERICAN CENTER FOR LAW AND JUSTICE IN SUPPORT OF PETITIONER, May 29, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2364  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","70.    Amicus Brief, BRIEF OF THE CATO INSTITUTE AS AMICUS CURIAE IN SUPPORT OF THE PETITIONER, May 29, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2368  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","71.    Amicus Brief, AMICUS CURIAE BRIEF OF MOUNTAIN STATES LEGAL FOUNDATION IN SUPPORT OF PETITIONER, October 19, 2011, 2011 U.S. S. Ct. Briefs LEXIS 1814  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","72.    Amicus Brief, BRIEF FOR CALIFORNIA INSTITUTE OF TECHNOLOGY, CARNEGIE MELLON UNIVERSITY, CASE WESTERN UNIVERSITY, EMORY UNIVERSITY, GEORGE WASHINGTON UNIVERSITY, NORTHWESTERN UNIVERSITY, RICE UNIVERSITY, TULANE UNIVERSITY, UNIVERSITY OF ROCHESTER, AND THE WASHINGTON UNIVERSITY AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3285  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","73.    Amicus Brief, BRIEF FOR AMICI CURIAE ASSOCIATION OF AMERICAN MEDICAL COLLEGES ET AL. IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3222  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","74.    Amicus Brief, BRIEF OF AMICI CURIAE CALIFORNIA ASSOCIATION OF SCHOLARS AND CENTER FOR CONSTITUTIONAL JURISPRUDENCE, IN SUPPORT OF PETITIONER, October 19, 2011, 2011 U.S. S. Ct. Briefs LEXIS 1889  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","75.    Amicus Brief, BRIEF OF AMICI CURIAE CALIFORNIA ASSOCIATION OF SCHOLARS, CONNECTICUT ASSOCIATION OF SCHOLARS, CENTER FOR CONSTITUTIONAL JURISPRUDENCE, REASON FOUNDATION, INDIVIDUAL RIGHTS FOUNDATION, AND AMERICAN CIVIL RIGHTS FOUNDATION IN SUPPORT OF PETITIONER, May 29, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2382  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","76.    Amicus Brief, AMICUS BRIEF OF GAIL HERIOT, PETER KIRSANOW & TODD GAZIANO, MEMBERS OF THE UNITED STATES COMMISSION ON CIVIL RIGHTS, IN SUPPORT OF THE PETITIONER, May 29, 2012, 2012 U.S. S. Ct. Briefs LEXIS 2385  "
28,"Fisher v. UT Austin, 133 S.Ct. 2411 (2013)","77.    Amicus Brief, BRIEF OF AMICUS CURIAE DAVID BOYLE IN SUPPORT OF RESPONDENTS, August 13, 2012, 2012 U.S. S. Ct. Briefs LEXIS 3381  "
